model,one_step_mse,rollout_rmse_50,rollout_rmse_100,rollout_rmse_500,mean_abs_error,attractor_density_distance,notes
mlp,0.00037175357119507155,0.7309831679402434,0.8941223761248908,6.395127107259056,0.0138262673273777,8.959803894474634e-06,Direct one-step state prediction baseline.
resnet,5.712546486172568e-05,0.5100378162725066,0.6406804683362264,6.8424824092582845,0.003932634999879758,2.9620348457788204e-06,Residual increment predictor.
neural_ode,0.00021824715556769577,0.4381475102299971,0.6220747965172401,6.011152717552055,0.004306540944914255,2.9893933024615234e-06,Continuous-time vector-field learner.
